fecha,sku,producto,categoria,cantidad,precio
2025-04-09,LAC-001,Leche Gloria tarro,Lácteos,22,4.2
2025-04-09,LAC-002,Yogurt Gloria 1L,Lácteos,8,6.5
2025-04-09,LIM-001,Detergente Bolívar 520g,Limpieza,5,5.0
2025-04-09,LIM-002,Papel higiénico Suave x4,Limpieza,4,6.0
2025-04-09,SNK-001,Galleta Soda Field,Snacks,23,1.0
2025-04-09,SNK-002,Chocolate Sublime,Snacks,9,2.0
2025-04-10,ABA-001,Arroz Costeño 1kg,Abarrotes,13,4.5
2025-04-10,ABA-002,Aceite Primor 1L,Abarrotes,13,9.9
2025-04-10,ABA-003,Atún Florida lata,Abarrotes,12,5.5
2025-04-10,ABA-004,Fideos Don Vittorio 500g,Abarrotes,16,3.2
2025-04-10,BEB-001,Agua Cielo 625ml,Bebidas,17,1.5
2025-04-10,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,35,2.5
2025-04-10,BEB-003,Cerveza Pilsen 355ml,Bebidas,22,4.0
2025-04-10,CUI-001,Jabón Bolívar barra,Cuidado,12,1.8
2025-04-10,LAC-001,Leche Gloria tarro,Lácteos,19,4.2
2025-04-10,LAC-002,Yogurt Gloria 1L,Lácteos,2,6.5
2025-04-10,LIM-001,Detergente Bolívar 520g,Limpieza,7,5.0
2025-04-10,LIM-002,Papel higiénico Suave x4,Limpieza,17,6.0
2025-04-10,SNK-001,Galleta Soda Field,Snacks,16,1.0
2025-04-10,SNK-002,Chocolate Sublime,Snacks,15,2.0
2025-04-11,ABA-001,Arroz Costeño 1kg,Abarrotes,13,4.5
2025-04-11,ABA-002,Aceite Primor 1L,Abarrotes,13,9.9
2025-04-11,ABA-003,Atún Florida lata,Abarrotes,16,5.5
2025-04-11,ABA-004,Fideos Don Vittorio 500g,Abarrotes,8,3.2
2025-04-11,BEB-001,Agua Cielo 625ml,Bebidas,14,1.5
2025-04-11,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,25,2.5
2025-04-11,BEB-003,Cerveza Pilsen 355ml,Bebidas,11,4.0
2025-04-11,CUI-001,Jabón Bolívar barra,Cuidado,10,1.8
2025-04-11,LAC-001,Leche Gloria tarro,Lácteos,15,4.2
2025-04-11,LAC-002,Yogurt Gloria 1L,Lácteos,7,6.5
2025-04-11,LIM-001,Detergente Bolívar 520g,Limpieza,9,5.0
2025-04-11,LIM-002,Papel higiénico Suave x4,Limpieza,13,6.0
2025-04-11,SNK-001,Galleta Soda Field,Snacks,12,1.0
2025-04-11,SNK-002,Chocolate Sublime,Snacks,20,2.0
2025-04-12,ABA-001,Arroz Costeño 1kg,Abarrotes,15,4.5
2025-04-12,ABA-002,Aceite Primor 1L,Abarrotes,7,9.9
2025-04-12,ABA-003,Atún Florida lata,Abarrotes,13,5.5
2025-04-12,ABA-004,Fideos Don Vittorio 500g,Abarrotes,13,3.2
2025-04-12,BEB-001,Agua Cielo 625ml,Bebidas,22,1.5
2025-04-12,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,23,2.5
2025-04-12,BEB-003,Cerveza Pilsen 355ml,Bebidas,15,4.0
2025-04-12,CUI-001,Jabón Bolívar barra,Cuidado,12,1.8
2025-04-12,LAC-001,Leche Gloria tarro,Lácteos,9,4.2
2025-04-12,LAC-002,Yogurt Gloria 1L,Lácteos,8,6.5
2025-04-12,LIM-001,Detergente Bolívar 520g,Limpieza,9,5.0
2025-04-12,LIM-002,Papel higiénico Suave x4,Limpieza,14,6.0
2025-04-12,SNK-001,Galleta Soda Field,Snacks,23,1.0
2025-04-12,SNK-002,Chocolate Sublime,Snacks,10,2.0
2025-04-13,ABA-001,Arroz Costeño 1kg,Abarrotes,16,4.5
2025-04-13,ABA-002,Aceite Primor 1L,Abarrotes,9,9.9
2025-04-13,ABA-003,Atún Florida lata,Abarrotes,16,5.5
2025-04-13,ABA-004,Fideos Don Vittorio 500g,Abarrotes,10,3.2
2025-04-13,BEB-001,Agua Cielo 625ml,Bebidas,23,1.5
2025-04-13,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,17,2.5
2025-04-13,BEB-003,Cerveza Pilsen 355ml,Bebidas,10,4.0
2025-04-13,CUI-001,Jabón Bolívar barra,Cuidado,13,1.8
2025-04-13,LAC-001,Leche Gloria tarro,Lácteos,14,4.2
2025-04-13,LAC-002,Yogurt Gloria 1L,Lácteos,6,6.5
2025-04-13,LIM-001,Detergente Bolívar 520g,Limpieza,4,5.0
2025-04-13,LIM-002,Papel higiénico Suave x4,Limpieza,14,6.0
2025-04-13,SNK-001,Galleta Soda Field,Snacks,21,1.0
2025-04-13,SNK-002,Chocolate Sublime,Snacks,21,2.0
2025-04-14,ABA-001,Arroz Costeño 1kg,Abarrotes,13,4.5
2025-04-14,ABA-002,Aceite Primor 1L,Abarrotes,14,9.9
2025-04-14,ABA-003,Atún Florida lata,Abarrotes,12,5.5
2025-04-14,ABA-004,Fideos Don Vittorio 500g,Abarrotes,12,3.2
2025-04-14,BEB-001,Agua Cielo 625ml,Bebidas,15,1.5
2025-04-14,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,20,2.5
2025-04-14,BEB-003,Cerveza Pilsen 355ml,Bebidas,8,4.0
2025-04-14,CUI-001,Jabón Bolívar barra,Cuidado,5,1.8
2025-04-14,LAC-001,Leche Gloria tarro,Lácteos,12,4.2
2025-04-14,LAC-002,Yogurt Gloria 1L,Lácteos,7,6.5
2025-04-14,LIM-001,Detergente Bolívar 520g,Limpieza,11,5.0
2025-04-14,LIM-002,Papel higiénico Suave x4,Limpieza,5,6.0
2025-04-14,SNK-001,Galleta Soda Field,Snacks,16,1.0
2025-04-14,SNK-002,Chocolate Sublime,Snacks,17,2.0
2025-04-15,ABA-001,Arroz Costeño 1kg,Abarrotes,9,4.5
2025-04-15,ABA-002,Aceite Primor 1L,Abarrotes,5,9.9
2025-04-15,ABA-003,Atún Florida lata,Abarrotes,12,5.5
2025-04-15,ABA-004,Fideos Don Vittorio 500g,Abarrotes,14,3.2
2025-04-15,BEB-001,Agua Cielo 625ml,Bebidas,20,1.5
2025-04-15,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,26,2.5
2025-04-15,BEB-003,Cerveza Pilsen 355ml,Bebidas,7,4.0
2025-04-15,CUI-001,Jabón Bolívar barra,Cuidado,14,1.8
2025-04-15,LAC-001,Leche Gloria tarro,Lácteos,17,4.2
2025-04-15,LAC-002,Yogurt Gloria 1L,Lácteos,3,6.5
2025-04-15,LIM-001,Detergente Bolívar 520g,Limpieza,7,5.0
2025-04-15,LIM-002,Papel higiénico Suave x4,Limpieza,4,6.0
2025-04-15,SNK-001,Galleta Soda Field,Snacks,20,1.0
2025-04-15,SNK-002,Chocolate Sublime,Snacks,13,2.0
2025-04-16,ABA-001,Arroz Costeño 1kg,Abarrotes,10,4.5
2025-04-16,ABA-002,Aceite Primor 1L,Abarrotes,8,9.9
2025-04-16,ABA-003,Atún Florida lata,Abarrotes,11,5.5
2025-04-16,ABA-004,Fideos Don Vittorio 500g,Abarrotes,12,3.2
2025-04-16,BEB-001,Agua Cielo 625ml,Bebidas,12,1.5
2025-04-16,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,27,2.5
2025-04-16,BEB-003,Cerveza Pilsen 355ml,Bebidas,15,4.0
2025-04-16,CUI-001,Jabón Bolívar barra,Cuidado,5,1.8
2025-04-16,LAC-001,Leche Gloria tarro,Lácteos,22,4.2
2025-04-16,LAC-002,Yogurt Gloria 1L,Lácteos,15,6.5
2025-04-16,LIM-001,Detergente Bolívar 520g,Limpieza,3,5.0
2025-04-16,LIM-002,Papel higiénico Suave x4,Limpieza,5,6.0
2025-04-16,SNK-001,Galleta Soda Field,Snacks,9,1.0
2025-04-16,SNK-002,Chocolate Sublime,Snacks,18,2.0
2025-04-17,ABA-001,Arroz Costeño 1kg,Abarrotes,8,4.5
2025-04-17,ABA-002,Aceite Primor 1L,Abarrotes,9,9.9
2025-04-17,ABA-003,Atún Florida lata,Abarrotes,16,5.5
2025-04-17,ABA-004,Fideos Don Vittorio 500g,Abarrotes,17,3.2
2025-04-17,BEB-001,Agua Cielo 625ml,Bebidas,15,1.5
2025-04-17,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,22,2.5
2025-04-17,BEB-003,Cerveza Pilsen 355ml,Bebidas,12,4.0
2025-04-17,CUI-001,Jabón Bolívar barra,Cuidado,11,1.8
2025-04-17,LAC-001,Leche Gloria tarro,Lácteos,12,4.2
2025-04-17,LAC-002,Yogurt Gloria 1L,Lácteos,8,6.5
2025-04-17,LIM-001,Detergente Bolívar 520g,Limpieza,8,5.0
2025-04-17,LIM-002,Papel higiénico Suave x4,Limpieza,8,6.0
2025-04-17,SNK-001,Galleta Soda Field,Snacks,19,1.0
2025-04-17,SNK-002,Chocolate Sublime,Snacks,14,2.0
2025-04-18,ABA-001,Arroz Costeño 1kg,Abarrotes,15,4.5
2025-04-18,ABA-002,Aceite Primor 1L,Abarrotes,10,9.9
2025-04-18,ABA-003,Atún Florida lata,Abarrotes,11,5.5
2025-04-18,ABA-004,Fideos Don Vittorio 500g,Abarrotes,10,3.2
2025-04-18,BEB-001,Agua Cielo 625ml,Bebidas,15,1.5
2025-04-18,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,25,2.5
2025-04-18,BEB-003,Cerveza Pilsen 355ml,Bebidas,18,4.0
2025-04-18,CUI-001,Jabón Bolívar barra,Cuidado,13,1.8
2025-04-18,LAC-001,Leche Gloria tarro,Lácteos,20,4.2
2025-04-18,LAC-002,Yogurt Gloria 1L,Lácteos,4,6.5
2025-04-18,LIM-001,Detergente Bolívar 520g,Limpieza,8,5.0
2025-04-18,LIM-002,Papel higiénico Suave x4,Limpieza,6,6.0
2025-04-18,SNK-001,Galleta Soda Field,Snacks,23,1.0
2025-04-18,SNK-002,Chocolate Sublime,Snacks,14,2.0
2025-04-19,ABA-001,Arroz Costeño 1kg,Abarrotes,8,4.5
2025-04-19,ABA-002,Aceite Primor 1L,Abarrotes,7,9.9
2025-04-19,ABA-003,Atún Florida lata,Abarrotes,16,5.5
2025-04-19,ABA-004,Fideos Don Vittorio 500g,Abarrotes,10,3.2
2025-04-19,BEB-001,Agua Cielo 625ml,Bebidas,22,1.5
2025-04-19,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,26,2.5
2025-04-19,BEB-003,Cerveza Pilsen 355ml,Bebidas,8,4.0
2025-04-19,CUI-001,Jabón Bolívar barra,Cuidado,12,1.8
2025-04-19,LAC-001,Leche Gloria tarro,Lácteos,25,4.2
2025-04-19,LAC-002,Yogurt Gloria 1L,Lácteos,9,6.5
2025-04-19,LIM-001,Detergente Bolívar 520g,Limpieza,6,5.0
2025-04-19,LIM-002,Papel higiénico Suave x4,Limpieza,7,6.0
2025-04-19,SNK-001,Galleta Soda Field,Snacks,20,1.0
2025-04-19,SNK-002,Chocolate Sublime,Snacks,11,2.0
2025-04-20,ABA-001,Arroz Costeño 1kg,Abarrotes,10,4.5
2025-04-20,ABA-002,Aceite Primor 1L,Abarrotes,12,9.9
2025-04-20,ABA-003,Atún Florida lata,Abarrotes,13,5.5
2025-04-20,ABA-004,Fideos Don Vittorio 500g,Abarrotes,13,3.2
2025-04-20,BEB-001,Agua Cielo 625ml,Bebidas,30,1.5
2025-04-20,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,21,2.5
2025-04-20,BEB-003,Cerveza Pilsen 355ml,Bebidas,8,4.0
2025-04-20,CUI-001,Jabón Bolívar barra,Cuidado,10,1.8
2025-04-20,LAC-001,Leche Gloria tarro,Lácteos,16,4.2
2025-04-20,LAC-002,Yogurt Gloria 1L,Lácteos,6,6.5
2025-04-20,LIM-001,Detergente Bolívar 520g,Limpieza,11,5.0
2025-04-20,LIM-002,Papel higiénico Suave x4,Limpieza,15,6.0
2025-04-20,SNK-001,Galleta Soda Field,Snacks,24,1.0
2025-04-20,SNK-002,Chocolate Sublime,Snacks,16,2.0
2025-04-21,ABA-001,Arroz Costeño 1kg,Abarrotes,9,4.5
2025-04-21,ABA-002,Aceite Primor 1L,Abarrotes,1,9.9
2025-04-21,ABA-003,Atún Florida lata,Abarrotes,20,5.5
2025-04-21,ABA-004,Fideos Don Vittorio 500g,Abarrotes,12,3.2
2025-04-21,BEB-001,Agua Cielo 625ml,Bebidas,11,1.5
2025-04-21,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,26,2.5
2025-04-21,BEB-003,Cerveza Pilsen 355ml,Bebidas,12,4.0
2025-04-21,CUI-001,Jabón Bolívar barra,Cuidado,3,1.8
2025-04-21,LAC-001,Leche Gloria tarro,Lácteos,12,4.2
2025-04-21,LAC-002,Yogurt Gloria 1L,Lácteos,7,6.5
2025-04-21,LIM-001,Detergente Bolívar 520g,Limpieza,9,5.0
2025-04-21,LIM-002,Papel higiénico Suave x4,Limpieza,12,6.0
2025-04-21,SNK-001,Galleta Soda Field,Snacks,18,1.0
2025-04-21,SNK-002,Chocolate Sublime,Snacks,15,2.0
2025-04-22,ABA-001,Arroz Costeño 1kg,Abarrotes,17,4.5
2025-04-22,ABA-002,Aceite Primor 1L,Abarrotes,5,9.9
2025-04-22,ABA-003,Atún Florida lata,Abarrotes,11,5.5
2025-04-22,ABA-004,Fideos Don Vittorio 500g,Abarrotes,5,3.2
2025-04-22,BEB-001,Agua Cielo 625ml,Bebidas,8,1.5
2025-04-22,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,15,2.5
2025-04-22,BEB-003,Cerveza Pilsen 355ml,Bebidas,12,4.0
2025-04-22,CUI-001,Jabón Bolívar barra,Cuidado,12,1.8
2025-04-22,LAC-001,Leche Gloria tarro,Lácteos,23,4.2
2025-04-22,LAC-002,Yogurt Gloria 1L,Lácteos,8,6.5
2025-04-22,LIM-001,Detergente Bolívar 520g,Limpieza,4,5.0
2025-04-22,LIM-002,Papel higiénico Suave x4,Limpieza,10,6.0
2025-04-22,SNK-001,Galleta Soda Field,Snacks,19,1.0
2025-04-22,SNK-002,Chocolate Sublime,Snacks,15,2.0
2025-04-23,ABA-001,Arroz Costeño 1kg,Abarrotes,9,4.5
2025-04-23,ABA-002,Aceite Primor 1L,Abarrotes,10,9.9
2025-04-23,ABA-003,Atún Florida lata,Abarrotes,9,5.5
2025-04-23,ABA-004,Fideos Don Vittorio 500g,Abarrotes,13,3.2
2025-04-23,BEB-001,Agua Cielo 625ml,Bebidas,16,1.5
2025-04-23,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,25,2.5
2025-04-23,BEB-003,Cerveza Pilsen 355ml,Bebidas,9,4.0
2025-04-23,CUI-001,Jabón Bolívar barra,Cuidado,9,1.8
2025-04-23,LAC-001,Leche Gloria tarro,Lácteos,15,4.2
2025-04-23,LAC-002,Yogurt Gloria 1L,Lácteos,7,6.5
2025-04-23,LIM-001,Detergente Bolívar 520g,Limpieza,5,5.0
2025-04-23,LIM-002,Papel higiénico Suave x4,Limpieza,10,6.0
2025-04-23,SNK-001,Galleta Soda Field,Snacks,25,1.0
2025-04-23,SNK-002,Chocolate Sublime,Snacks,23,2.0
2025-04-24,ABA-001,Arroz Costeño 1kg,Abarrotes,13,4.5
2025-04-24,ABA-002,Aceite Primor 1L,Abarrotes,13,9.9
2025-04-24,ABA-003,Atún Florida lata,Abarrotes,9,5.5
2025-04-24,ABA-004,Fideos Don Vittorio 500g,Abarrotes,11,3.2
2025-04-24,BEB-001,Agua Cielo 625ml,Bebidas,23,1.5
2025-04-24,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,34,2.5
2025-04-24,BEB-003,Cerveza Pilsen 355ml,Bebidas,11,4.0
2025-04-24,CUI-001,Jabón Bolívar barra,Cuidado,8,1.8
2025-04-24,LAC-001,Leche Gloria tarro,Lácteos,19,4.2
2025-04-24,LAC-002,Yogurt Gloria 1L,Lácteos,7,6.5
2025-04-24,LIM-001,Detergente Bolívar 520g,Limpieza,3,5.0
2025-04-24,LIM-002,Papel higiénico Suave x4,Limpieza,13,6.0
2025-04-24,SNK-001,Galleta Soda Field,Snacks,20,1.0
2025-04-24,SNK-002,Chocolate Sublime,Snacks,16,2.0
2025-04-25,ABA-001,Arroz Costeño 1kg,Abarrotes,8,4.5
2025-04-25,ABA-002,Aceite Primor 1L,Abarrotes,11,9.9
2025-04-25,ABA-003,Atún Florida lata,Abarrotes,13,5.5
2025-04-25,ABA-004,Fideos Don Vittorio 500g,Abarrotes,18,3.2
2025-04-25,BEB-001,Agua Cielo 625ml,Bebidas,15,1.5
2025-04-25,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,22,2.5
2025-04-25,BEB-003,Cerveza Pilsen 355ml,Bebidas,17,4.0
2025-04-25,CUI-001,Jabón Bolívar barra,Cuidado,11,1.8
2025-04-25,LAC-001,Leche Gloria tarro,Lácteos,15,4.2
2025-04-25,LAC-002,Yogurt Gloria 1L,Lácteos,6,6.5
2025-04-25,LIM-001,Detergente Bolívar 520g,Limpieza,9,5.0
2025-04-25,LIM-002,Papel higiénico Suave x4,Limpieza,16,6.0
2025-04-25,SNK-001,Galleta Soda Field,Snacks,13,1.0
2025-04-25,SNK-002,Chocolate Sublime,Snacks,16,2.0
2025-04-26,ABA-001,Arroz Costeño 1kg,Abarrotes,12,4.5
2025-04-26,ABA-002,Aceite Primor 1L,Abarrotes,7,9.9
2025-04-26,ABA-003,Atún Florida lata,Abarrotes,11,5.5
2025-04-26,ABA-004,Fideos Don Vittorio 500g,Abarrotes,10,3.2
2025-04-26,BEB-001,Agua Cielo 625ml,Bebidas,25,1.5
2025-04-26,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,26,2.5
2025-04-26,BEB-003,Cerveza Pilsen 355ml,Bebidas,15,4.0
2025-04-26,CUI-001,Jabón Bolívar barra,Cuidado,11,1.8
2025-04-26,LAC-001,Leche Gloria tarro,Lácteos,17,4.2
2025-04-26,LAC-002,Yogurt Gloria 1L,Lácteos,6,6.5
2025-04-26,LIM-001,Detergente Bolívar 520g,Limpieza,12,5.0
2025-04-26,LIM-002,Papel higiénico Suave x4,Limpieza,9,6.0
2025-04-26,SNK-001,Galleta Soda Field,Snacks,28,1.0
2025-04-26,SNK-002,Chocolate Sublime,Snacks,16,2.0
2025-04-27,ABA-001,Arroz Costeño 1kg,Abarrotes,14,4.5
2025-04-27,ABA-002,Aceite Primor 1L,Abarrotes,10,9.9
2025-04-27,ABA-003,Atún Florida lata,Abarrotes,17,5.5
2025-04-27,ABA-004,Fideos Don Vittorio 500g,Abarrotes,14,3.2
2025-04-27,BEB-001,Agua Cielo 625ml,Bebidas,24,1.5
2025-04-27,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,26,2.5
2025-04-27,BEB-003,Cerveza Pilsen 355ml,Bebidas,18,4.0
